epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5838,2.37248,6.05616,1.71061,0,0,0,0,1.92366,5.85956,1.38741,6.1e-07,6.1e-07,6.1e-07
2,36.8244,2.39446,6.02024,1.76785,0,0,0,0,1.9287,5.86582,1.39342,1.76961e-06,1.76961e-06,1.76961e-06
3,55.8739,2.42162,6.02688,1.75325,0,0,0,0,1.93277,5.8696,1.39827,2.8487e-06,2.8487e-06,2.8487e-06
4,74.8774,2.42101,6.03284,1.77518,0,0,0,0,1.93536,5.87331,1.40244,3.84727e-06,3.84727e-06,3.84727e-06
5,93.5745,2.39243,6.02453,1.79489,0,0,0,0,1.94074,5.87786,1.4078,4.76532e-06,4.76532e-06,4.76532e-06
6,111.783,2.36264,6.00892,1.78289,0,0,0,0,1.94602,5.88251,1.41428,5.60285e-06,5.60285e-06,5.60285e-06
7,133.666,2.36655,5.98761,1.77019,0,0,0,0,1.94616,5.88575,1.41806,6.35986e-06,6.35986e-06,6.35986e-06
8,153.57,2.27866,5.99233,1.71685,0,0,0,0,1.94223,5.88714,1.41797,7.03635e-06,7.03635e-06,7.03635e-06
9,173.111,2.25168,5.98516,1.76746,0,0,0,0,1.93857,5.88624,1.41566,7.63232e-06,7.63232e-06,7.63232e-06
10,191.565,2.35404,6.03116,1.70412,0,0,0,0,1.9384,5.89187,1.42027,8.14777e-06,8.14777e-06,8.14777e-06
11,208.986,2.31548,5.97648,1.77548,0,0,0,0,1.93586,5.89457,1.42299,8.5827e-06,8.5827e-06,8.5827e-06
12,228.976,2.1569,5.97342,1.6168,0,0,0,0,1.93139,5.89888,1.42745,8.93711e-06,8.93711e-06,8.93711e-06
13,247.4,2.30241,5.98641,1.65191,0,0,0,0,1.92634,5.90145,1.42878,9.211e-06,9.211e-06,9.211e-06
14,268.72,2.27215,5.96626,1.69177,0,0,0,0,1.91917,5.9016,1.42709,9.40437e-06,9.40437e-06,9.40437e-06
15,289.308,2.29452,6.01358,1.61879,0,0,0,0,1.91004,5.90357,1.42625,9.51722e-06,9.51722e-06,9.51722e-06
16,311.623,2.14624,5.94738,1.62378,0,0,0,0,1.90385,5.90429,1.42528,9.54955e-06,9.54955e-06,9.54955e-06
17,333.763,2.18856,5.98548,1.58449,0,0,0,0,1.90145,5.90503,1.42648,9.50136e-06,9.50136e-06,9.50136e-06
18,355.02,2.31481,6.00411,1.62884,0,0,0,0,1.89842,5.90626,1.42676,9.37265e-06,9.37265e-06,9.37265e-06
19,376.452,2.08839,5.96908,1.60468,0,0,0,0,1.8944,5.90678,1.42601,9.16342e-06,9.16342e-06,9.16342e-06
20,396.545,2.23832,5.9797,1.63461,0,0,0,0,1.89168,5.9063,1.42572,8.87367e-06,8.87367e-06,8.87367e-06
21,417.243,2.06049,5.91025,1.58601,0,0,0,0,1.88736,5.90487,1.42294,8.5034e-06,8.5034e-06,8.5034e-06
22,436.701,2.08028,5.90066,1.56553,0,0,0,0,1.88601,5.90302,1.42001,8.05261e-06,8.05261e-06,8.05261e-06
23,456.21,2.07902,5.92728,1.55777,0,0,0,0,1.88241,5.90129,1.41867,7.5213e-06,7.5213e-06,7.5213e-06
24,475.462,2.00385,5.89816,1.55375,0,0,0,0,1.87948,5.89799,1.41482,6.90947e-06,6.90947e-06,6.90947e-06
25,495.512,2.02709,5.88591,1.58474,0,0,0,0,1.87683,5.89696,1.41321,6.21712e-06,6.21712e-06,6.21712e-06
26,514.497,2.07426,5.91424,1.54947,0,0,0,0,1.87541,5.89589,1.41306,5.44425e-06,5.44425e-06,5.44425e-06
27,533.297,2.02954,5.85805,1.54401,0,0,0,0,1.87363,5.89584,1.4135,4.59086e-06,4.59086e-06,4.59086e-06
28,552.847,2.0825,5.88576,1.59358,0,0,0,0,1.87363,5.89584,1.4135,3.65695e-06,3.65695e-06,3.65695e-06
29,570.804,2.02681,5.8837,1.52822,0,0,0,0,1.87785,5.89613,1.41706,2.64252e-06,2.64252e-06,2.64252e-06
30,590.955,2.02695,5.8822,1.52843,0,0,0,0,1.88454,5.89587,1.4212,1.54757e-06,1.54757e-06,1.54757e-06
