epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3191,2.37248,6.05616,1.71061,0,0,0,0,1.92366,5.85956,1.38741,6.1e-07,6.1e-07,6.1e-07
2,31.2064,2.39442,6.02024,1.76783,0,0,0,0,1.92865,5.8658,1.3934,1.82396e-06,1.82396e-06,1.82396e-06
3,45.366,2.42133,6.02676,1.75304,0,0,0,0,1.93238,5.86958,1.39815,3.02987e-06,3.02987e-06,3.02987e-06
4,59.2614,2.42012,6.03263,1.7745,0,0,0,0,1.93474,5.87282,1.40166,4.22773e-06,4.22773e-06,4.22773e-06
5,73.0613,2.39021,6.02409,1.79333,0,0,0,0,1.93926,5.87697,1.40666,5.41753e-06,5.41753e-06,5.41753e-06
6,86.5908,2.3575,6.00821,1.77949,0,0,0,0,1.9426,5.88124,1.4122,6.59928e-06,6.59928e-06,6.59928e-06
7,100.031,2.36092,5.98544,1.76526,0,0,0,0,1.94099,5.88299,1.41358,7.77299e-06,7.77299e-06,7.77299e-06
8,114.252,2.26908,5.98886,1.70943,0,0,0,0,1.93662,5.88226,1.41145,8.93864e-06,8.93864e-06,8.93864e-06
9,127.613,2.23678,5.98045,1.75513,0,0,0,0,1.93074,5.88076,1.40792,1.00962e-05,1.00962e-05,1.00962e-05
10,144.132,2.33491,6.02513,1.69008,0,0,0,0,1.92775,5.88554,1.41032,1.12458e-05,1.12458e-05,1.12458e-05
11,162.682,2.29732,5.97104,1.76134,0,0,0,0,1.92378,5.88717,1.41183,1.23873e-05,1.23873e-05,1.23873e-05
12,180.603,2.12913,5.96548,1.59475,0,0,0,0,1.91612,5.8898,1.41174,1.35207e-05,1.35207e-05,1.35207e-05
13,202.537,2.26539,5.97505,1.62752,0,0,0,0,1.90735,5.89031,1.40931,1.46461e-05,1.46461e-05,1.46461e-05
14,221.897,2.22672,5.95445,1.65946,0,0,0,0,1.90058,5.8888,1.40481,1.57634e-05,1.57634e-05,1.57634e-05
15,240.809,2.24733,5.99659,1.58498,0,0,0,0,1.89171,5.88897,1.40111,1.68727e-05,1.68727e-05,1.68727e-05
16,260.21,2.09906,5.93108,1.59065,0,0,0,0,1.87996,5.8867,1.39458,1.7974e-05,1.7974e-05,1.7974e-05
17,280.507,2.13079,5.95789,1.53911,0,0,0,0,1.86731,5.88368,1.3871,1.90671e-05,1.90671e-05,1.90671e-05
18,295.936,2.24656,5.97898,1.5801,0,0,0,0,1.85598,5.88158,1.3813,2.01523e-05,2.01523e-05,2.01523e-05
19,309.241,2.02396,5.93913,1.54923,0,0,0,0,1.84439,5.87815,1.37423,2.12293e-05,2.12293e-05,2.12293e-05
20,323.107,2.16944,5.94741,1.57896,0,0,0,0,1.83525,5.87431,1.36738,2.22984e-05,2.22984e-05,2.22984e-05
21,336.796,2.1272,5.93043,1.52562,0,0,0,0,1.82811,5.8684,1.36041,2.33593e-05,2.33593e-05,2.33593e-05
22,350.657,2.11915,5.95442,1.52015,0,0,0,0,1.82085,5.86449,1.35422,2.44123e-05,2.44123e-05,2.44123e-05
23,364.204,2.0718,5.91278,1.51716,0,0,0,0,1.81643,5.85866,1.34695,2.54571e-05,2.54571e-05,2.54571e-05
24,377.881,1.98665,5.87085,1.50603,0,0,0,0,1.8117,5.85164,1.33999,2.64939e-05,2.64939e-05,2.64939e-05
25,391.849,2.03821,5.8852,1.4799,0,0,0,0,1.80594,5.84393,1.33069,2.75227e-05,2.75227e-05,2.75227e-05
26,405.226,1.88904,5.82767,1.44513,0,0,0,0,1.79785,5.83803,1.32239,2.85434e-05,2.85434e-05,2.85434e-05
27,418.96,1.92485,5.86251,1.45247,0,0,0,0,1.79235,5.83211,1.31592,2.95561e-05,2.95561e-05,2.95561e-05
28,432.466,2.00467,5.84016,1.46038,0,0,0,0,1.79235,5.83211,1.31592,3.05607e-05,3.05607e-05,3.05607e-05
29,446.306,2.00224,5.83543,1.43374,0,0,0,0,1.78622,5.82411,1.30846,3.15573e-05,3.15573e-05,3.15573e-05
30,459.825,1.92758,5.82685,1.46023,0,0,0,0,1.77979,5.81734,1.30253,3.25458e-05,3.25458e-05,3.25458e-05
31,473.499,1.89437,5.80113,1.37269,0,0,0,0,1.77979,5.81734,1.30253,3.35262e-05,3.35262e-05,3.35262e-05
32,487.108,1.894,5.80288,1.43904,0,0,0,0,1.77498,5.80766,1.29564,3.44986e-05,3.44986e-05,3.44986e-05
33,501.24,1.99259,5.88263,1.39118,0,0,0,0,1.76753,5.79947,1.29259,3.5463e-05,3.5463e-05,3.5463e-05
