epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3506,1.69459,4.73479,1.11549,0.70779,0.0458,0.06268,0.04687,1.59338,4.56853,1.15588,6.1e-07,6.1e-07,6.1e-07
2,32.096,1.71075,4.7764,1.158,0.70814,0.0458,0.06468,0.04798,1.59313,4.56606,1.15447,1.81792e-06,1.81792e-06,1.81792e-06
3,45.5757,1.67362,4.83399,1.13429,0.70798,0.04587,0.06477,0.04811,1.59287,4.56319,1.15324,3.00974e-06,3.00974e-06,3.00974e-06
4,59.0937,1.6916,4.88692,1.16517,0.71079,0.0455,0.0653,0.04845,1.59273,4.56029,1.15246,4.18545e-06,4.18545e-06,4.18545e-06
5,72.4637,1.67943,4.77982,1.16597,0.71049,0.0449,0.06549,0.04872,1.59309,4.55757,1.15177,5.34506e-06,5.34506e-06,5.34506e-06
6,85.6123,1.6783,4.64978,1.18485,0.66248,0.06116,0.06594,0.04892,1.59378,4.5514,1.15034,6.48857e-06,6.48857e-06,6.48857e-06
7,99.5497,1.75464,4.75207,1.17672,0.67108,0.06071,0.06614,0.04939,1.5948,4.54058,1.14865,7.61597e-06,7.61597e-06,7.61597e-06
8,114.576,1.70041,4.76434,1.14588,0.69935,0.05818,0.0665,0.0498,1.59401,4.53413,1.14779,8.72727e-06,8.72727e-06,8.72727e-06
9,131.541,1.70383,4.78336,1.21848,0.69938,0.05873,0.0665,0.04979,1.59402,4.52978,1.1476,9.82246e-06,9.82246e-06,9.82246e-06
10,145.991,1.70167,4.76213,1.16317,0.69947,0.05831,0.06607,0.0493,1.59312,4.53132,1.14708,1.09016e-05,1.09016e-05,1.09016e-05
11,159.855,1.75291,4.75736,1.21974,0.70019,0.05864,0.06614,0.04916,1.59306,4.52128,1.14612,1.19645e-05,1.19645e-05,1.19645e-05
12,174.014,1.62545,4.74309,1.11615,0.70887,0.05776,0.06659,0.04949,1.59214,4.51725,1.14498,1.30114e-05,1.30114e-05,1.30114e-05
13,187.98,1.70226,4.85301,1.14382,0.69491,0.05727,0.06698,0.04977,1.59134,4.50986,1.14366,1.40422e-05,1.40422e-05,1.40422e-05
14,202.457,1.681,4.79065,1.16434,0.68866,0.05638,0.06747,0.04979,1.58926,4.50275,1.14238,1.50569e-05,1.50569e-05,1.50569e-05
